time_s,bus_busy_s,load_percent
289,0.00528,0.528
290,0.00528,0.528
291,0.00528,0.528
292,0.00528,0.528
293,0.00528,0.528
294,0.00528,0.528
295,0.00528,0.528
296,0.00528,0.528
297,0.00528,0.528
298,0.00528,0.528
299,0.00528,0.528
300,0.0108,1.08
301,0.00528,0.528
302,0.00528,0.528
303,0.00528,0.528
304,0.00528,0.528
305,0.00528,0.528
306,0.00528,0.528
307,0.00528,0.528
308,0.00528,0.528
309,0.00528,0.528
310,0.00528,0.528
311,0.00528,0.528
312,0.00528,0.528
313,0.00528,0.528
314,0.00528,0.528
315,0.00528,0.528
316,0.00528,0.528
317,0.00528,0.528
318,0.00528,0.528
319,0.00528,0.528
320,0.00528,0.528
321,0.00528,0.528
322,0.00528,0.528
323,0.00528,0.528
324,0.00528,0.528
325,0.00528,0.528
326,0.00528,0.528
327,0.00528,0.528
328,0.00528,0.528
329,0.00528,0.528
330,0.00528,0.528
331,0.00528,0.528
332,0.00528,0.528
333,0.00528,0.528
334,0.00528,0.528
335,0.00528,0.528
336,0.00528,0.528
337,0.00528,0.528
338,0.00528,0.528
339,0.00528,0.528
340,0.00528,0.528
341,0.00528,0.528
342,0.00528,0.528
343,0.00528,0.528
344,0.00528,0.528
345,0.00528,0.528
346,0.00528,0.528
347,0.00528,0.528
348,0.00528,0.528
349,0.00528,0.528
350,0.00528,0.528
351,0.00528,0.528
352,0.00528,0.528
353,0.00528,0.528
354,0.00528,0.528
355,0.00528,0.528
356,0.00528,0.528
357,0.00528,0.528
358,0.00528,0.528
359,0.00528,0.528
360,0.0108,1.08
361,0.00528,0.528
362,0.00528,0.528
363,0.00528,0.528
364,0.00528,0.528
365,0.00528,0.528
366,0.00528,0.528
367,0.00528,0.528
368,0.00528,0.528
369,0.00528,0.528
370,0.00528,0.528
371,0.00528,0.528
372,0.00528,0.528
373,0.00528,0.528
374,0.00528,0.528
375,0.00528,0.528
376,0.00528,0.528
377,0.00528,0.528
378,0.00528,0.528
379,0.00528,0.528
380,0.00528,0.528
381,0.00528,0.528
382,0.00528,0.528
383,0.00528,0.528
384,0.00528,0.528
385,0.00528,0.528
386,0.00528,0.528
387,0.00528,0.528
388,0.00528,0.528
389,0.00528,0.528
390,0.00528,0.528
391,0.00528,0.528
392,0.00528,0.528
393,0.00528,0.528
394,0.00528,0.528
395,0.00528,0.528
396,0.00528,0.528
397,0.00528,0.528
398,0.00528,0.528
399,0.00528,0.528
400,0.00528,0.528
401,0.00528,0.528
402,0.00528,0.528
403,0.00528,0.528
404,0.00528,0.528
405,0.00528,0.528
406,0.00528,0.528
407,0.00528,0.528
408,0.00528,0.528
409,0.00528,0.528
410,0.00528,0.528
411,0.00528,0.528
412,0.00528,0.528
413,0.00528,0.528
414,0.00528,0.528
415,0.00528,0.528
416,0.00528,0.528
417,0.00528,0.528
418,0.00528,0.528
419,0.00528,0.528
420,0.0108,1.08
421,0.00528,0.528
422,0.00528,0.528
423,0.00528,0.528
424,0.00528,0.528
425,0.00528,0.528
426,0.00528,0.528
427,0.00528,0.528
428,0.00528,0.528
429,0.00528,0.528
430,0.00528,0.528
431,0.00528,0.528
432,0.00528,0.528
433,0.00528,0.528
434,0.00528,0.528
435,0.00528,0.528
436,0.00528,0.528
437,0.00528,0.528
438,0.00528,0.528
439,0.00528,0.528
440,0.00528,0.528
441,0.00528,0.528
442,0.00528,0.528
443,0.00528,0.528
444,0.00528,0.528
445,0.00528,0.528
446,0.00528,0.528
447,0.00528,0.528
448,0.00528,0.528
449,0.00528,0.528
450,0.00528,0.528
451,0.00528,0.528
452,0.00528,0.528
453,0.00528,0.528
454,0.00528,0.528
455,0.00528,0.528
456,0.00528,0.528
457,0.00528,0.528
458,0.00528,0.528
459,0.00528,0.528
460,0.00528,0.528
461,0.00528,0.528
462,0.00528,0.528
463,0.00528,0.528
464,0.00528,0.528
465,0.00528,0.528
466,0.00528,0.528
467,0.00528,0.528
468,0.00528,0.528
469,0.00528,0.528
470,0.00528,0.528
471,0.00528,0.528
472,0.00528,0.528
473,0.00528,0.528
474,0.00528,0.528
475,0.00528,0.528
476,0.00528,0.528
477,0.00528,0.528
478,0.00528,0.528
479,0.00528,0.528
480,0.0108,1.08
481,0.00528,0.528
482,0.00528,0.528
