thread,query_type,latency_us
reader,SELECT,40.125000000057476
writer,UPDATE,29.832999999923615
reader,SELECT,28.999999999945736
reader,SELECT,23.87500000000653
writer,UPDATE,39.20800000001279
reader,SELECT,29.87499999995702
reader,SELECT,35.50000000007714
writer,UPDATE,24.58300000007796
reader,SELECT,29.124999999963208
reader,SELECT,39.79099999995572
writer,UPDATE,43.20800000001679
reader,SELECT,32.79200000005922
reader,SELECT,34.08299999996256
writer,UPDATE,39.084000000078056
reader,SELECT,29.083000000040826
reader,SELECT,33.6250000000371
writer,UPDATE,31.624999999979586
reader,SELECT,29.082999999929804
reader,SELECT,26.70800000004192
writer,UPDATE,34.79200000000571
reader,SELECT,28.582999999970937
reader,SELECT,34.124999999995964
writer,UPDATE,31.12500000002072
reader,SELECT,30.042000000007896
reader,SELECT,24.29199999998133
writer,UPDATE,30.042000000007896
reader,SELECT,28.83300000000588
reader,SELECT,23.541999999987517
writer,UPDATE,29.166999999996612
reader,SELECT,29.374999999998153
reader,SELECT,34.249999999902414
writer,UPDATE,35.66700000001699
reader,SELECT,29.582999999999693
reader,SELECT,32.16600000000014
writer,UPDATE,26.749999999964302
reader,SELECT,30.874999999985775
reader,SELECT,33.41700000003556
writer,UPDATE,27.499999999958114
reader,SELECT,31.25000000003819
reader,SELECT,34.0840000000453
writer,UPDATE,30.749999999968303
reader,SELECT,39.62499999998759
reader,SELECT,24.000000000024002
writer,UPDATE,32.70900000007515
reader,SELECT,34.83399999992809
reader,SELECT,33.37500000000215
writer,UPDATE,27.540999999908777
reader,SELECT,40.29199999999733
reader,SELECT,32.79099999997648
writer,UPDATE,25.166000000020894
reader,SELECT,38.54199999997476
reader,SELECT,73.08299999997381
writer,UPDATE,110.54199999993574
reader,SELECT,55.83300000000513
reader,SELECT,70.37499999995589
writer,UPDATE,52.750000000045816
reader,SELECT,67.04199999996163
reader,SELECT,57.2080000000863
writer,UPDATE,59.083999999987036
reader,SELECT,80.66600000000702
reader,SELECT,42.25000000002144
writer,UPDATE,55.33400000001798
reader,SELECT,42.666999999996236
reader,SELECT,36.70799999999641
writer,UPDATE,48.666999999946725
reader,SELECT,60.95800000005536
reader,SELECT,53.66699999997948
writer,UPDATE,37.74999999994755
reader,SELECT,57.917000000018426
reader,SELECT,47.70800000009068
writer,UPDATE,31.25000000003819
reader,SELECT,54.87500000000978
reader,SELECT,113.4579999999552
writer,UPDATE,90.0420000000679
